You entered a buffer length of 20
gx: -0.002931, gy: -0.001466, gz: -0.006351, avg x: -0.000147, avg y: -0.000073, avg z: -0.000318, x_min: -0.002931, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006351, z_max: 0.000000
gx: -0.001954, gy: -0.000489, gz: -0.005862, avg x: -0.000244, avg y: -0.000098, avg z: -0.000611, x_min: -0.002931, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006351, z_max: 0.000000
gx: -0.002931, gy: -0.000977, gz: -0.006839, avg x: -0.000391, avg y: -0.000147, avg z: -0.000953, x_min: -0.002931, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.003908, gy: -0.000977, gz: -0.005862, avg x: -0.000586, avg y: -0.000195, avg z: -0.001246, x_min: -0.003908, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.004397, gy: 0.000000, gz: -0.005374, avg x: -0.000806, avg y: -0.000195, avg z: -0.001514, x_min: -0.004397, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.005374, gy: -0.000489, gz: -0.006351, avg x: -0.001075, avg y: -0.000220, avg z: -0.001832, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.003420, gy: 0.000000, gz: -0.006839, avg x: -0.001246, avg y: -0.000220, avg z: -0.002174, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.002931, gy: -0.001466, gz: -0.006839, avg x: -0.001392, avg y: -0.000293, avg z: -0.002516, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.006839, z_max: 0.000000
gx: -0.001954, gy: -0.000977, gz: -0.007328, avg x: -0.001490, avg y: -0.000342, avg z: -0.002882, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.000977, gy: -0.000977, gz: -0.006351, avg x: -0.001539, avg y: -0.000391, avg z: -0.003200, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.000489, gy: -0.000977, gz: -0.005862, avg x: -0.001563, avg y: -0.000440, avg z: -0.003493, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: 0.000000, gy: -0.000489, gz: -0.005862, avg x: -0.001563, avg y: -0.000464, avg z: -0.003786, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: 0.000000, gy: -0.000977, gz: -0.006351, avg x: -0.001563, avg y: -0.000513, avg z: -0.004104, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: 0.000000, gy: -0.000977, gz: -0.005862, avg x: -0.001563, avg y: -0.000562, avg z: -0.004397, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.000977, gy: -0.000489, gz: -0.004885, avg x: -0.001612, avg y: -0.000586, avg z: -0.004641, x_min: -0.005374, x_max: 0.000000, y_min: -0.001466, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: -0.000489, gy: -0.002443, gz: -0.006351, avg x: -0.001637, avg y: -0.000709, avg z: -0.004958, x_min: -0.005374, x_max: 0.000000, y_min: -0.002443, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: 0.000000, gy: -0.000977, gz: -0.006351, avg x: -0.001637, avg y: -0.000757, avg z: -0.005276, x_min: -0.005374, x_max: 0.000000, y_min: -0.002443, y_max: 0.000000, z_min: -0.007328, z_max: 0.000000
gx: 0.000488, gy: 0.000488, gz: -0.006351, avg x: -0.001612, avg y: -0.000733, avg z: -0.005594, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: 0.000000
gx: -0.000489, gy: -0.000489, gz: -0.007328, avg x: -0.001637, avg y: -0.000757, avg z: -0.005960, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: 0.000000
gx: -0.000489, gy: -0.000977, gz: -0.006351, avg x: -0.001661, avg y: -0.000806, avg z: -0.006278, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: -0.004885
gx: -0.000977, gy: -0.001466, gz: -0.007328, avg x: -0.001563, avg y: -0.000806, avg z: -0.006326, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: -0.004885
gx: -0.001466, gy: -0.000489, gz: -0.005862, avg x: -0.001539, avg y: -0.000806, avg z: -0.006326, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: -0.004885
gx: -0.003908, gy: -0.000977, gz: -0.007328, avg x: -0.001588, avg y: -0.000806, avg z: -0.006351, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: -0.004885
gx: -0.004397, gy: -0.000489, gz: -0.006351, avg x: -0.001612, avg y: -0.000782, avg z: -0.006375, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.007328, z_max: -0.004885
gx: -0.003908, gy: -0.000977, gz: -0.008305, avg x: -0.001588, avg y: -0.000831, avg z: -0.006522, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: 0.000000, gy: -0.000489, gz: -0.007328, avg x: -0.001319, avg y: -0.000831, avg z: -0.006571, x_min: -0.004397, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.005374, gy: -0.000977, gz: -0.006351, avg x: -0.001417, avg y: -0.000880, avg z: -0.006546, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.002443, gy: -0.000489, gz: -0.006839, avg x: -0.001392, avg y: -0.000831, avg z: -0.006546, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.000489, gy: 0.000000, gz: -0.007816, avg x: -0.001319, avg y: -0.000782, avg z: -0.006571, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.004885, gy: -0.000977, gz: -0.005374, avg x: -0.001515, avg y: -0.000782, avg z: -0.006522, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.001466, gy: -0.000977, gz: -0.006351, avg x: -0.001563, avg y: -0.000782, avg z: -0.006546, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: 0.000488, gy: -0.000977, gz: -0.006351, avg x: -0.001539, avg y: -0.000806, avg z: -0.006571, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.005374, gy: -0.000489, gz: -0.006839, avg x: -0.001808, avg y: -0.000782, avg z: -0.006595, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.003420, gy: -0.000977, gz: -0.005374, avg x: -0.001979, avg y: -0.000782, avg z: -0.006571, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: 0.000488, gy: -0.001466, gz: -0.005374, avg x: -0.001905, avg y: -0.000831, avg z: -0.006595, x_min: -0.005374, x_max: 0.000488, y_min: -0.002443, y_max: 0.000488, z_min: -0.008305, z_max: -0.005374
gx: 0.002441, gy: -0.000489, gz: -0.006351, avg x: -0.001759, avg y: -0.000733, avg z: -0.006595, x_min: -0.005374, x_max: 0.002441, y_min: -0.001466, y_max: 0.000488, z_min: -0.008305, z_max: -0.005374
gx: -0.000489, gy: -0.001466, gz: -0.005862, avg x: -0.001783, avg y: -0.000757, avg z: -0.006571, x_min: -0.005374, x_max: 0.002441, y_min: -0.001466, y_max: 0.000488, z_min: -0.008305, z_max: -0.005374
gx: -0.002931, gy: -0.001466, gz: -0.007816, avg x: -0.001954, avg y: -0.000855, avg z: -0.006644, x_min: -0.005374, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: -0.002443, gy: -0.001466, gz: -0.006839, avg x: -0.002052, avg y: -0.000904, avg z: -0.006620, x_min: -0.005374, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: -0.001954, gy: -0.000489, gz: -0.006351, avg x: -0.002125, avg y: -0.000880, avg z: -0.006620, x_min: -0.005374, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: -0.005374, gy: -0.001466, gz: -0.006839, avg x: -0.002345, avg y: -0.000880, avg z: -0.006595, x_min: -0.005374, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: -0.006351, gy: -0.000977, gz: -0.007328, avg x: -0.002589, avg y: -0.000904, avg z: -0.006668, x_min: -0.006351, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: -0.002931, gy: 0.000000, gz: -0.007328, avg x: -0.002541, avg y: -0.000855, avg z: -0.006668, x_min: -0.006351, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: 0.000000, gy: -0.000977, gz: -0.006351, avg x: -0.002321, avg y: -0.000880, avg z: -0.006668, x_min: -0.006351, x_max: 0.002441, y_min: -0.001466, y_max: 0.000000, z_min: -0.008305, z_max: -0.005374
gx: -0.005374, gy: -0.001954, gz: -0.007328, avg x: -0.002394, avg y: -0.000928, avg z: -0.006620, x_min: -0.006351, x_max: 0.002441, y_min: -0.001954, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.005862, gy: -0.000489, gz: -0.006839, avg x: -0.002687, avg y: -0.000928, avg z: -0.006595, x_min: -0.006351, x_max: 0.002441, y_min: -0.001954, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.005374, gy: -0.001466, gz: -0.006839, avg x: -0.002687, avg y: -0.000953, avg z: -0.006619, x_min: -0.006351, x_max: 0.002441, y_min: -0.001954, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
