You entered a buffer length of 20
gx: 0.025879, gy: 0.111816, gz: -0.062042, avg x: 0.001294, avg y: 0.005591, avg z: -0.003102, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.062042, z_max: 0.000000
gx: 0.023438, gy: 0.108887, gz: -0.073278, avg x: 0.002466, avg y: 0.011035, avg z: -0.006766, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.073278, z_max: 0.000000
gx: 0.021484, gy: 0.103027, gz: -0.080606, avg x: 0.003540, avg y: 0.016186, avg z: -0.010796, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.080606, z_max: 0.000000
gx: 0.020508, gy: 0.097656, gz: -0.085979, avg x: 0.004565, avg y: 0.021069, avg z: -0.015095, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.085979, z_max: 0.000000
gx: 0.017578, gy: 0.089844, gz: -0.088911, avg x: 0.005444, avg y: 0.025561, avg z: -0.019541, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.088911, z_max: 0.000000
gx: 0.012695, gy: 0.085449, gz: -0.093796, avg x: 0.006079, avg y: 0.029834, avg z: -0.024231, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.093796, z_max: 0.000000
gx: 0.003906, gy: 0.079102, gz: -0.095750, avg x: 0.006274, avg y: 0.033789, avg z: -0.029018, x_min: 0.000000, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.001466, gy: 0.072266, gz: -0.093796, avg x: 0.006201, avg y: 0.037402, avg z: -0.033708, x_min: -0.001466, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.005374, gy: 0.065918, gz: -0.094284, avg x: 0.005932, avg y: 0.040698, avg z: -0.038422, x_min: -0.005374, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.010747, gy: 0.060547, gz: -0.092330, avg x: 0.005395, avg y: 0.043726, avg z: -0.043039, x_min: -0.010747, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.017587, gy: 0.052734, gz: -0.090865, avg x: 0.004516, avg y: 0.046362, avg z: -0.047582, x_min: -0.017587, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.021495, gy: 0.044434, gz: -0.090865, avg x: 0.003441, avg y: 0.048584, avg z: -0.052125, x_min: -0.021495, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.025403, gy: 0.037598, gz: -0.086957, avg x: 0.002171, avg y: 0.050464, avg z: -0.056473, x_min: -0.025403, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.027846, gy: 0.032227, gz: -0.086957, avg x: 0.000779, avg y: 0.052075, avg z: -0.060821, x_min: -0.027846, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.031265, gy: 0.025879, gz: -0.084025, avg x: -0.000785, avg y: 0.053369, avg z: -0.065022, x_min: -0.031265, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.030288, gy: 0.020996, gz: -0.083048, avg x: -0.002299, avg y: 0.054419, avg z: -0.069174, x_min: -0.031265, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.030288, gy: 0.013672, gz: -0.083048, avg x: -0.003814, avg y: 0.055103, avg z: -0.073327, x_min: -0.031265, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.030777, gy: 0.007812, gz: -0.084514, avg x: -0.005352, avg y: 0.055493, avg z: -0.077553, x_min: -0.031265, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.029800, gy: 0.002441, gz: -0.086957, avg x: -0.006842, avg y: 0.055615, avg z: -0.081900, x_min: -0.031265, x_max: 0.025879, y_min: 0.000000, y_max: 0.111816, z_min: -0.095750, z_max: 0.000000
gx: -0.031754, gy: -0.002931, gz: -0.090376, avg x: -0.008430, avg y: 0.055469, avg z: -0.086419, x_min: -0.031754, x_max: 0.025879, y_min: -0.002931, y_max: 0.111816, z_min: -0.095750, z_max: -0.062042
gx: -0.032242, gy: -0.006839, gz: -0.091842, avg x: -0.011336, avg y: 0.049536, avg z: -0.087909, x_min: -0.032242, x_max: 0.023438, y_min: -0.006839, y_max: 0.108887, z_min: -0.095750, z_max: -0.073278
gx: -0.033708, gy: -0.010259, gz: -0.095750, avg x: -0.014193, avg y: 0.043579, avg z: -0.089033, x_min: -0.033708, x_max: 0.021484, y_min: -0.010259, y_max: 0.103027, z_min: -0.095750, z_max: -0.080606
gx: -0.034196, gy: -0.012213, gz: -0.100147, avg x: -0.016977, avg y: 0.037817, avg z: -0.090010, x_min: -0.034196, x_max: 0.020508, y_min: -0.012213, y_max: 0.097656, z_min: -0.100147, z_max: -0.083048
gx: -0.026380, gy: -0.015633, gz: -0.121641, avg x: -0.019322, avg y: 0.032152, avg z: -0.091793, x_min: -0.034196, x_max: 0.017578, y_min: -0.015633, y_max: 0.089844, z_min: -0.121641, z_max: -0.083048
gx: -0.010259, gy: -0.002443, gz: -0.178310, avg x: -0.020714, avg y: 0.027538, avg z: -0.096263, x_min: -0.034196, x_max: 0.012695, y_min: -0.015633, y_max: 0.085449, z_min: -0.178310, z_max: -0.083048
gx: 0.005371, gy: 0.000000, gz: -0.208109, avg x: -0.021080, avg y: 0.023265, avg z: -0.101979, x_min: -0.034196, x_max: 0.005371, y_min: -0.015633, y_max: 0.079102, z_min: -0.208109, z_max: -0.083048
gx: 0.034668, gy: -0.006351, gz: -0.241329, avg x: -0.019542, avg y: 0.018993, avg z: -0.109257, x_min: -0.034196, x_max: 0.034668, y_min: -0.015633, y_max: 0.072266, z_min: -0.241329, z_max: -0.083048
gx: 0.054199, gy: -0.018564, gz: -0.248168, avg x: -0.016759, avg y: 0.014451, avg z: -0.116976, x_min: -0.034196, x_max: 0.054199, y_min: -0.018564, y_max: 0.065918, z_min: -0.248168, z_max: -0.083048
gx: 0.070801, gy: -0.054226, gz: -0.239375, avg x: -0.012950, avg y: 0.008444, avg z: -0.124231, x_min: -0.034196, x_max: 0.070801, y_min: -0.054226, y_max: 0.060547, z_min: -0.248168, z_max: -0.083048
gx: 0.052246, gy: -0.131412, gz: -0.178310, avg x: -0.009800, avg y: -0.001154, avg z: -0.128530, x_min: -0.034196, x_max: 0.070801, y_min: -0.131412, y_max: 0.052734, z_min: -0.248168, z_max: -0.083048
gx: -0.016121, gy: -0.208109, gz: -0.096727, avg x: -0.009727, avg y: -0.014196, avg z: -0.128823, x_min: -0.034196, x_max: 0.070801, y_min: -0.208109, y_max: 0.044434, z_min: -0.248168, z_max: -0.083048
gx: -0.041524, gy: -0.233512, gz: -0.081583, avg x: -0.010728, avg y: -0.028093, avg z: -0.128359, x_min: -0.041524, x_max: 0.070801, y_min: -0.233512, y_max: 0.037598, z_min: -0.248168, z_max: -0.081583
gx: -0.050806, gy: -0.278456, gz: -0.063508, avg x: -0.011998, avg y: -0.043896, avg z: -0.127186, x_min: -0.050806, x_max: 0.070801, y_min: -0.278456, y_max: 0.032227, z_min: -0.248168, z_max: -0.063508
gx: -0.033219, gy: -0.300440, gz: -0.059111, avg x: -0.012267, avg y: -0.060529, avg z: -0.125794, x_min: -0.050806, x_max: 0.070801, y_min: -0.300440, y_max: 0.025879, z_min: -0.248168, z_max: -0.059111
gx: 0.052734, gy: -0.292135, gz: -0.032242, avg x: -0.008067, avg y: -0.076430, avg z: -0.123205, x_min: -0.050806, x_max: 0.070801, y_min: -0.300440, y_max: 0.020996, z_min: -0.248168, z_max: -0.032242
gx: 0.093750, gy: -0.271617, gz: 0.005371, avg x: -0.001865, avg y: -0.091061, avg z: -0.118784, x_min: -0.050806, x_max: 0.093750, y_min: -0.300440, y_max: 0.013672, z_min: -0.248168, z_max: 0.005371
gx: 0.102539, gy: -0.232047, gz: 0.100098, avg x: 0.004776, avg y: -0.103347, avg z: -0.109627, x_min: -0.050806, x_max: 0.102539, y_min: -0.300440, y_max: 0.007812, z_min: -0.248168, z_max: 0.100098
gx: 0.141602, gy: -0.189057, gz: 0.196289, avg x: 0.013395, avg y: -0.113190, avg z: -0.095586, x_min: -0.050806, x_max: 0.141602, y_min: -0.300440, y_max: 0.002441, z_min: -0.248168, z_max: 0.196289
gx: 0.170410, gy: -0.172936, gz: 0.250488, avg x: 0.023406, avg y: -0.121959, avg z: -0.078714, x_min: -0.050806, x_max: 0.170410, y_min: -0.300440, y_max: 0.000000, z_min: -0.248168, z_max: 0.250488
gx: 0.173340, gy: -0.212506, gz: 0.393555, avg x: 0.033660, avg y: -0.132438, avg z: -0.054518, x_min: -0.050806, x_max: 0.173340, y_min: -0.300440, y_max: 0.000000, z_min: -0.248168, z_max: 0.393555
gx: 0.072754, gy: -0.335613, gz: 0.497070, avg x: 0.038910, avg y: -0.148876, avg z: -0.025072, x_min: -0.050806, x_max: 0.173340, y_min: -0.335613, y_max: 0.000000, z_min: -0.248168, z_max: 0.497070
gx: -0.095750, gy: -0.429897, gz: 0.541504, avg x: 0.035808, avg y: -0.169858, avg z: 0.006791, x_min: -0.095750, x_max: 0.173340, y_min: -0.429897, y_max: 0.000000, z_min: -0.248168, z_max: 0.541504
gx: -0.315584, gy: -0.362482, gz: 0.453613, avg x: 0.021739, avg y: -0.187372, avg z: 0.034479, x_min: -0.315584, x_max: 0.173340, y_min: -0.429897, y_max: 0.000000, z_min: -0.248168, z_max: 0.541504
gx: -0.666830, gy: 0.042969, gz: 0.242676, avg x: -0.010284, avg y: -0.184442, avg z: 0.052695, x_min: -0.666830, x_max: 0.173340, y_min: -0.429897, y_max: 0.042969, z_min: -0.248168, z_max: 0.541504
gx: -0.718124, gy: 0.505859, gz: 0.089844, avg x: -0.045677, avg y: -0.159027, avg z: 0.066102, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.505859, z_min: -0.248168, z_max: 0.541504
gx: -0.657059, gy: 0.628906, gz: 0.041992, avg x: -0.078799, avg y: -0.127581, avg z: 0.078607, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.628906, z_min: -0.248168, z_max: 0.541504
gx: -0.451392, gy: 0.691406, gz: -0.062042, avg x: -0.103102, avg y: -0.092693, avg z: 0.087572, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.691406, z_min: -0.248168, z_max: 0.541504
gx: -0.340010, gy: 0.557617, gz: -0.081583, avg x: -0.122812, avg y: -0.063884, avg z: 0.095901, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.691406, z_min: -0.239375, z_max: 0.541504
gx: -0.191011, gy: 0.188477, gz: -0.175379, avg x: -0.135903, avg y: -0.051749, avg z: 0.099101, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.691406, z_min: -0.178310, z_max: 0.541504
gx: -0.037616, gy: -0.059111, gz: -0.215437, avg x: -0.140396, avg y: -0.048134, avg z: 0.097244, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.691406, z_min: -0.215437, z_max: 0.541504
gx: 0.047852, gy: -0.106009, gz: -0.245237, avg x: -0.137197, avg y: -0.043029, avg z: 0.089819, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.691406, z_min: -0.245237, z_max: 0.541504
gx: 0.142578, gy: -0.126038, gz: -0.297997, avg x: -0.127992, avg y: -0.037656, avg z: 0.078998, x_min: -0.718124, x_max: 0.173340, y_min: -0.429897, y_max: 0.691406, z_min: -0.297997, z_max: 0.541504
gx: 0.184570, gy: -0.126527, gz: -0.311676, avg x: -0.116223, avg y: -0.030059, avg z: 0.066590, x_min: -0.718124, x_max: 0.184570, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.201660, gy: -0.174402, gz: -0.213972, avg x: -0.104479, avg y: -0.023757, avg z: 0.058847, x_min: -0.718124, x_max: 0.201660, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.148926, gy: -0.254519, gz: -0.088911, avg x: -0.099670, avg y: -0.021876, avg z: 0.056013, x_min: -0.718124, x_max: 0.201660, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.077148, gy: -0.422081, gz: -0.001954, avg x: -0.100500, avg y: -0.029400, avg z: 0.055647, x_min: -0.718124, x_max: 0.201660, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
