You entered a buffer length of 20
gx: -0.103078, gy: -0.109917, gz: 0.048828, avg x: -0.005154, avg y: -0.005496, avg z: 0.002441, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.095750, gy: -0.105032, gz: 0.044434, avg x: -0.009941, avg y: -0.010747, avg z: 0.004663, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.084514, gy: -0.098681, gz: 0.040039, avg x: -0.014167, avg y: -0.015682, avg z: 0.006665, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.071812, gy: -0.090865, gz: 0.037109, avg x: -0.017758, avg y: -0.020225, avg z: 0.008521, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.058134, gy: -0.083048, gz: 0.032715, avg x: -0.020664, avg y: -0.024377, avg z: 0.010156, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.040059, gy: -0.074255, gz: 0.027344, avg x: -0.022667, avg y: -0.028090, avg z: 0.011523, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.020518, gy: -0.064485, gz: 0.022949, avg x: -0.023693, avg y: -0.031314, avg z: 0.012671, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: -0.001466, gy: -0.058134, gz: 0.019043, avg x: -0.023767, avg y: -0.034221, avg z: 0.013623, x_min: -0.103078, x_max: 0.000000, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: 0.014160, gy: -0.050318, gz: 0.018555, avg x: -0.023059, avg y: -0.036737, avg z: 0.014551, x_min: -0.103078, x_max: 0.014160, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: 0.031738, gy: -0.046898, gz: 0.016113, avg x: -0.021472, avg y: -0.039082, avg z: 0.015356, x_min: -0.103078, x_max: 0.031738, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: 0.048340, gy: -0.043478, gz: 0.013672, avg x: -0.019055, avg y: -0.041256, avg z: 0.016040, x_min: -0.103078, x_max: 0.048340, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: 0.058594, gy: -0.042990, gz: 0.010254, avg x: -0.016125, avg y: -0.043405, avg z: 0.016553, x_min: -0.103078, x_max: 0.058594, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
gx: 0.077148, gy: -0.041524, gz: 0.004883, avg x: -0.012268, avg y: -0.045481, avg z: 0.016797, x_min: -0.103078, x_max: 0.077148, y_min: -0.109917, y_max: 0.000000, z_min: 0.000000, z_max: 0.048828
