You entered a buffer length of 20
gx: 0.024414, gy: -0.012213, gz: -0.001466, avg x: 0.001221, avg y: -0.000611, avg z: -0.000073, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.000000, z_min: -0.001466, z_max: 0.000000
gx: 0.022461, gy: -0.008793, gz: 0.002441, avg x: 0.002344, avg y: -0.001050, avg z: 0.000049, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.000000, z_min: -0.001466, z_max: 0.002441
gx: 0.020996, gy: -0.001954, gz: 0.007324, avg x: 0.003394, avg y: -0.001148, avg z: 0.000415, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.000000, z_min: -0.001466, z_max: 0.007324
gx: 0.018555, gy: 0.000000, gz: 0.008301, avg x: 0.004321, avg y: -0.001148, avg z: 0.000830, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.000000, z_min: -0.001466, z_max: 0.008301
gx: 0.017090, gy: 0.006348, gz: 0.010742, avg x: 0.005176, avg y: -0.000831, avg z: 0.001367, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.006348, z_min: -0.001466, z_max: 0.010742
gx: 0.015137, gy: 0.011230, gz: 0.008789, avg x: 0.005933, avg y: -0.000269, avg z: 0.001807, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.011230, z_min: -0.001466, z_max: 0.010742
gx: 0.011719, gy: 0.013184, gz: 0.009277, avg x: 0.006519, avg y: 0.000390, avg z: 0.002270, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.013184, z_min: -0.001466, z_max: 0.010742
gx: 0.008301, gy: 0.015137, gz: 0.005859, avg x: 0.006934, avg y: 0.001147, avg z: 0.002563, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.015137, z_min: -0.001466, z_max: 0.010742
gx: 0.005371, gy: 0.016113, gz: 0.004883, avg x: 0.007202, avg y: 0.001953, avg z: 0.002807, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.016113, z_min: -0.001466, z_max: 0.010742
gx: 0.002441, gy: 0.017578, gz: 0.006836, avg x: 0.007324, avg y: 0.002831, avg z: 0.003149, x_min: 0.000000, x_max: 0.024414, y_min: -0.012213, y_max: 0.017578, z_min: -0.001466, z_max: 0.010742
gx: -0.000977, gy: 0.019043, gz: 0.005859, avg x: 0.007275, avg y: 0.003784, avg z: 0.003442, x_min: -0.000977, x_max: 0.024414, y_min: -0.012213, y_max: 0.019043, z_min: -0.001466, z_max: 0.010742
gx: -0.004397, gy: 0.019531, gz: 0.004883, avg x: 0.007056, avg y: 0.004760, avg z: 0.003686, x_min: -0.004397, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.010742
gx: -0.008793, gy: 0.017578, gz: 0.005859, avg x: 0.006616, avg y: 0.005639, avg z: 0.003979, x_min: -0.008793, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.010742
gx: -0.012213, gy: 0.013672, gz: 0.008301, avg x: 0.006005, avg y: 0.006323, avg z: 0.004394, x_min: -0.012213, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.010742
gx: -0.014656, gy: 0.008789, gz: 0.009766, avg x: 0.005272, avg y: 0.006762, avg z: 0.004883, x_min: -0.014656, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.010742
gx: -0.013190, gy: 0.006348, gz: 0.011719, avg x: 0.004613, avg y: 0.007080, avg z: 0.005469, x_min: -0.014656, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.011719
gx: -0.011724, gy: 0.002441, gz: 0.012695, avg x: 0.004027, avg y: 0.007202, avg z: 0.006103, x_min: -0.014656, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.012695
gx: -0.007816, gy: 0.000000, gz: 0.012695, avg x: 0.003636, avg y: 0.007202, avg z: 0.006738, x_min: -0.014656, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.012695
gx: -0.005862, gy: 0.001465, gz: 0.012695, avg x: 0.003343, avg y: 0.007275, avg z: 0.007373, x_min: -0.014656, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.012695
gx: -0.004397, gy: 0.001465, gz: 0.011230, avg x: 0.003123, avg y: 0.007348, avg z: 0.007934, x_min: -0.014656, x_max: 0.024414, y_min: -0.012213, y_max: 0.019531, z_min: -0.001466, z_max: 0.012695
gx: -0.005374, gy: 0.003418, gz: 0.008789, avg x: 0.001634, avg y: 0.008130, avg z: 0.008447, x_min: -0.014656, x_max: 0.022461, y_min: -0.008793, y_max: 0.019531, z_min: 0.002441, z_max: 0.012695
gx: -0.004885, gy: 0.005371, gz: 0.002441, avg x: 0.000266, avg y: 0.008838, avg z: 0.008447, x_min: -0.014656, x_max: 0.020996, y_min: -0.001954, y_max: 0.019531, z_min: 0.002441, z_max: 0.012695
gx: -0.002931, gy: -0.001466, gz: -0.012213, avg x: -0.000930, avg y: 0.008862, avg z: 0.007470, x_min: -0.014656, x_max: 0.018555, y_min: -0.001466, y_max: 0.019531, z_min: -0.012213, z_max: 0.012695
gx: -0.005374, gy: -0.006351, gz: -0.009282, avg x: -0.002126, avg y: 0.008545, avg z: 0.006591, x_min: -0.014656, x_max: 0.017090, y_min: -0.006351, y_max: 0.019531, z_min: -0.012213, z_max: 0.012695
gx: -0.007816, gy: -0.021006, gz: -0.013190, avg x: -0.003372, avg y: 0.007177, avg z: 0.005395, x_min: -0.014656, x_max: 0.015137, y_min: -0.021006, y_max: 0.019531, z_min: -0.013190, z_max: 0.012695
gx: -0.003420, gy: -0.020518, gz: -0.019541, avg x: -0.004300, avg y: 0.005590, avg z: 0.003978, x_min: -0.014656, x_max: 0.011719, y_min: -0.021006, y_max: 0.019531, z_min: -0.019541, z_max: 0.012695
gx: 0.003418, gy: -0.014167, gz: -0.017587, avg x: -0.004715, avg y: 0.004222, avg z: 0.002635, x_min: -0.014656, x_max: 0.008301, y_min: -0.021006, y_max: 0.019531, z_min: -0.019541, z_max: 0.012695
gx: 0.008301, gy: -0.008793, gz: -0.016121, avg x: -0.004715, avg y: 0.003026, avg z: 0.001536, x_min: -0.014656, x_max: 0.008301, y_min: -0.021006, y_max: 0.019531, z_min: -0.019541, z_max: 0.012695
gx: 0.018555, gy: -0.002443, gz: 0.004395, avg x: -0.004056, avg y: 0.002098, avg z: 0.001511, x_min: -0.014656, x_max: 0.018555, y_min: -0.021006, y_max: 0.019531, z_min: -0.019541, z_max: 0.012695
gx: 0.019531, gy: -0.000977, gz: 0.010254, avg x: -0.003201, avg y: 0.001170, avg z: 0.001682, x_min: -0.014656, x_max: 0.019531, y_min: -0.021006, y_max: 0.019531, z_min: -0.019541, z_max: 0.012695
gx: 0.017090, gy: 0.001953, gz: 0.018555, avg x: -0.002298, avg y: 0.000316, avg z: 0.002317, x_min: -0.014656, x_max: 0.019531, y_min: -0.021006, y_max: 0.019531, z_min: -0.019541, z_max: 0.018555
gx: -0.008305, gy: 0.008301, gz: 0.020508, avg x: -0.002493, avg y: -0.000246, avg z: 0.003098, x_min: -0.014656, x_max: 0.019531, y_min: -0.021006, y_max: 0.017578, z_min: -0.019541, z_max: 0.020508
gx: -0.027846, gy: 0.002441, gz: 0.026367, avg x: -0.003446, avg y: -0.001003, avg z: 0.004124, x_min: -0.027846, x_max: 0.019531, y_min: -0.021006, y_max: 0.013672, z_min: -0.019541, z_max: 0.026367
gx: -0.030288, gy: 0.000000, gz: 0.025879, avg x: -0.004349, avg y: -0.001686, avg z: 0.005003, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008789, z_min: -0.019541, z_max: 0.026367
gx: -0.023937, gy: 0.002441, gz: 0.027832, avg x: -0.004814, avg y: -0.002004, avg z: 0.005906, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.021983, gy: 0.006348, gz: 0.025879, avg x: -0.005253, avg y: -0.002004, avg z: 0.006614, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.028334, gy: 0.000977, gz: 0.010254, avg x: -0.006084, avg y: -0.002077, avg z: 0.006492, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.021495, gy: 0.003906, gz: -0.001954, avg x: -0.006768, avg y: -0.001882, avg z: 0.005759, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.019052, gy: 0.006836, gz: -0.007816, avg x: -0.007427, avg y: -0.001613, avg z: 0.004734, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.021983, gy: 0.003418, gz: -0.001954, avg x: -0.008306, avg y: -0.001516, avg z: 0.004075, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.020029, gy: 0.002441, gz: 0.002930, avg x: -0.009039, avg y: -0.001564, avg z: 0.003782, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.022472, gy: 0.002930, gz: 0.006348, avg x: -0.009919, avg y: -0.001686, avg z: 0.003977, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.008301, z_min: -0.019541, z_max: 0.027832
gx: -0.013679, gy: 0.009766, gz: 0.009277, avg x: -0.010456, avg y: -0.001125, avg z: 0.005052, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.009766, z_min: -0.019541, z_max: 0.027832
gx: -0.014167, gy: 0.007324, gz: 0.005859, avg x: -0.010896, avg y: -0.000441, avg z: 0.005809, x_min: -0.030288, x_max: 0.019531, y_min: -0.021006, y_max: 0.009766, z_min: -0.019541, z_max: 0.027832
gx: -0.009770, gy: 0.001465, gz: 0.003418, avg x: -0.010993, avg y: 0.000682, avg z: 0.006639, x_min: -0.030288, x_max: 0.019531, y_min: -0.020518, y_max: 0.009766, z_min: -0.019541, z_max: 0.027832
gx: -0.010259, gy: 0.002441, gz: 0.006836, avg x: -0.011335, avg y: 0.001830, avg z: 0.007958, x_min: -0.030288, x_max: 0.019531, y_min: -0.014167, y_max: 0.009766, z_min: -0.017587, z_max: 0.027832
gx: -0.005374, gy: 0.007324, gz: 0.005859, avg x: -0.011775, avg y: 0.002905, avg z: 0.009130, x_min: -0.030288, x_max: 0.019531, y_min: -0.008793, y_max: 0.009766, z_min: -0.016121, z_max: 0.027832
gx: 0.000000, gy: 0.010742, gz: -0.004397, avg x: -0.012190, avg y: 0.003882, avg z: 0.009716, x_min: -0.030288, x_max: 0.019531, y_min: -0.002443, y_max: 0.010742, z_min: -0.007816, z_max: 0.027832
gx: 0.007812, gy: 0.011719, gz: -0.015144, avg x: -0.012727, avg y: 0.004590, avg z: 0.008740, x_min: -0.030288, x_max: 0.019531, y_min: -0.000977, y_max: 0.011719, z_min: -0.015144, z_max: 0.027832
gx: -0.003908, gy: 0.007812, gz: -0.021006, avg x: -0.013899, avg y: 0.005029, avg z: 0.007176, x_min: -0.030288, x_max: 0.017090, y_min: 0.000000, y_max: 0.011719, z_min: -0.021006, z_max: 0.027832
gx: -0.005374, gy: -0.005862, gz: -0.022472, avg x: -0.015022, avg y: 0.004639, avg z: 0.005125, x_min: -0.030288, x_max: 0.007812, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.027832
gx: -0.006351, gy: -0.003908, gz: -0.018075, avg x: -0.014924, avg y: 0.004028, avg z: 0.003196, x_min: -0.030288, x_max: 0.007812, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.027832
gx: 0.001953, gy: 0.001465, gz: -0.011724, avg x: -0.013435, avg y: 0.003979, avg z: 0.001291, x_min: -0.030288, x_max: 0.007812, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.027832
gx: 0.002441, gy: 0.002441, gz: -0.015144, avg x: -0.011798, avg y: 0.004101, avg z: -0.000760, x_min: -0.028334, x_max: 0.007812, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.027832
gx: 0.007324, gy: 0.002441, gz: -0.016121, avg x: -0.010235, avg y: 0.004101, avg z: -0.002957, x_min: -0.028334, x_max: 0.007812, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.025879
gx: 0.011230, gy: 0.004883, gz: -0.006351, avg x: -0.008574, avg y: 0.004028, avg z: -0.004569, x_min: -0.028334, x_max: 0.011230, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.010254
gx: 0.004883, gy: 0.003906, gz: 0.003906, avg x: -0.006913, avg y: 0.004174, avg z: -0.004886, x_min: -0.022472, x_max: 0.011230, y_min: -0.005862, y_max: 0.011719, z_min: -0.022472, z_max: 0.009277
gx: -0.020518, gy: -0.008793, gz: 0.006836, avg x: -0.006865, avg y: 0.003540, avg z: -0.004447, x_min: -0.022472, x_max: 0.011230, y_min: -0.008793, y_max: 0.011719, z_min: -0.022472, z_max: 0.009277
gx: -0.034196, gy: -0.024915, gz: 0.021973, avg x: -0.007622, avg y: 0.001952, avg z: -0.002957, x_min: -0.034196, x_max: 0.011230, y_min: -0.024915, y_max: 0.011719, z_min: -0.022472, z_max: 0.021973
gx: -0.043967, gy: -0.035173, gz: 0.032227, avg x: -0.008721, avg y: 0.000022, avg z: -0.001248, x_min: -0.043967, x_max: 0.011230, y_min: -0.035173, y_max: 0.011719, z_min: -0.022472, z_max: 0.032227
gx: -0.050806, gy: -0.037128, gz: 0.038086, avg x: -0.010260, avg y: -0.001956, avg z: 0.000510, x_min: -0.050806, x_max: 0.011230, y_min: -0.037128, y_max: 0.011719, z_min: -0.022472, z_max: 0.038086
gx: -0.061553, gy: -0.047875, gz: 0.040527, avg x: -0.012214, avg y: -0.004496, avg z: 0.002218, x_min: -0.061553, x_max: 0.011230, y_min: -0.047875, y_max: 0.011719, z_min: -0.022472, z_max: 0.040527
gx: -0.062042, gy: -0.045432, gz: 0.038086, avg x: -0.014632, avg y: -0.007256, avg z: 0.003659, x_min: -0.062042, x_max: 0.011230, y_min: -0.047875, y_max: 0.011719, z_min: -0.022472, z_max: 0.040527
gx: -0.056180, gy: -0.041524, gz: 0.041992, avg x: -0.016733, avg y: -0.009699, avg z: 0.005466, x_min: -0.062042, x_max: 0.011230, y_min: -0.047875, y_max: 0.011719, z_min: -0.022472, z_max: 0.041992
gx: -0.047386, gy: -0.032731, gz: 0.057617, avg x: -0.018614, avg y: -0.011408, avg z: 0.008176, x_min: -0.062042, x_max: 0.011230, y_min: -0.047875, y_max: 0.011719, z_min: -0.022472, z_max: 0.057617
gx: -0.069370, gy: -0.044455, gz: 0.071289, avg x: -0.021569, avg y: -0.013753, avg z: 0.011398, x_min: -0.069370, x_max: 0.011230, y_min: -0.047875, y_max: 0.011719, z_min: -0.022472, z_max: 0.071289
gx: -0.085491, gy: -0.054714, gz: 0.099121, avg x: -0.025575, avg y: -0.016855, avg z: 0.016061, x_min: -0.085491, x_max: 0.011230, y_min: -0.054714, y_max: 0.011719, z_min: -0.022472, z_max: 0.099121
gx: -0.079140, gy: -0.045921, gz: 0.099121, avg x: -0.029532, avg y: -0.019688, avg z: 0.021237, x_min: -0.085491, x_max: 0.011230, y_min: -0.054714, y_max: 0.011719, z_min: -0.022472, z_max: 0.099121
gx: -0.035662, gy: -0.038105, gz: 0.040527, avg x: -0.031706, avg y: -0.022179, avg z: 0.024021, x_min: -0.085491, x_max: 0.011230, y_min: -0.054714, y_max: 0.007812, z_min: -0.022472, z_max: 0.099121
gx: 0.014648, gy: -0.032731, gz: -0.021495, avg x: -0.030778, avg y: -0.024207, avg z: 0.023996, x_min: -0.085491, x_max: 0.014648, y_min: -0.054714, y_max: 0.004883, z_min: -0.022472, z_max: 0.099121
gx: 0.045410, gy: -0.035662, gz: -0.058134, avg x: -0.028239, avg y: -0.025697, avg z: 0.022213, x_min: -0.085491, x_max: 0.045410, y_min: -0.054714, y_max: 0.004883, z_min: -0.058134, z_max: 0.099121
gx: 0.045898, gy: -0.048363, gz: -0.052760, avg x: -0.025626, avg y: -0.027919, avg z: 0.020479, x_min: -0.085491, x_max: 0.045898, y_min: -0.054714, y_max: 0.004883, z_min: -0.058134, z_max: 0.099121
gx: 0.042969, gy: -0.047875, gz: -0.040059, avg x: -0.023575, avg y: -0.030386, avg z: 0.019062, x_min: -0.085491, x_max: 0.045898, y_min: -0.054714, y_max: 0.004883, z_min: -0.058134, z_max: 0.099121
gx: 0.022949, gy: -0.039570, gz: -0.002443, avg x: -0.022550, avg y: -0.032487, avg z: 0.019697, x_min: -0.085491, x_max: 0.045898, y_min: -0.054714, y_max: 0.004883, z_min: -0.058134, z_max: 0.099121
gx: -0.006351, gy: -0.037128, gz: 0.011719, avg x: -0.023234, avg y: -0.034465, avg z: 0.021089, x_min: -0.085491, x_max: 0.045898, y_min: -0.054714, y_max: 0.004883, z_min: -0.058134, z_max: 0.099121
gx: -0.026380, gy: -0.035173, gz: 0.019043, avg x: -0.025114, avg y: -0.036468, avg z: 0.022359, x_min: -0.085491, x_max: 0.045898, y_min: -0.054714, y_max: 0.003906, z_min: -0.058134, z_max: 0.099121
gx: -0.097704, gy: -0.030288, gz: 0.015625, avg x: -0.030244, avg y: -0.038178, avg z: 0.022945, x_min: -0.097704, x_max: 0.045898, y_min: -0.054714, y_max: -0.008793, z_min: -0.058134, z_max: 0.099121
gx: -0.116268, gy: -0.025892, gz: 0.010254, avg x: -0.035031, avg y: -0.039033, avg z: 0.023116, x_min: -0.116268, x_max: 0.045898, y_min: -0.054714, y_max: -0.024915, z_min: -0.058134, z_max: 0.099121
gx: -0.125061, gy: -0.023937, gz: 0.014648, avg x: -0.039574, avg y: -0.038984, avg z: 0.022750, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: -0.023937, z_min: -0.058134, z_max: 0.099121
gx: -0.110405, gy: -0.020518, gz: 0.023438, avg x: -0.042896, avg y: -0.038251, avg z: 0.022310, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: -0.020518, z_min: -0.058134, z_max: 0.099121
gx: -0.089888, gy: -0.020518, gz: 0.036133, avg x: -0.044850, avg y: -0.037421, avg z: 0.022212, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: -0.020518, z_min: -0.058134, z_max: 0.099121
gx: -0.035173, gy: -0.040059, gz: 0.042969, avg x: -0.043531, avg y: -0.037030, avg z: 0.022335, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: -0.020518, z_min: -0.058134, z_max: 0.099121
gx: -0.018075, gy: -0.053249, gz: 0.031738, avg x: -0.041333, avg y: -0.037421, avg z: 0.022017, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: -0.020518, z_min: -0.058134, z_max: 0.099121
gx: 0.006348, gy: -0.036639, gz: 0.008789, avg x: -0.038207, avg y: -0.037176, avg z: 0.020357, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: -0.020518, z_min: -0.058134, z_max: 0.099121
gx: 0.005371, gy: 0.014648, gz: -0.039082, avg x: -0.035569, avg y: -0.034807, avg z: 0.015522, x_min: -0.125061, x_max: 0.045898, y_min: -0.054714, y_max: 0.014648, z_min: -0.058134, z_max: 0.099121
gx: 0.072266, gy: 0.071289, gz: -0.045921, avg x: -0.028487, avg y: -0.029020, avg z: 0.009662, x_min: -0.125061, x_max: 0.072266, y_min: -0.054714, y_max: 0.071289, z_min: -0.058134, z_max: 0.099121
gx: 0.093750, gy: 0.073730, gz: -0.034196, avg x: -0.019525, avg y: -0.022598, avg z: 0.002996, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.058134, z_max: 0.099121
gx: 0.091309, gy: 0.023926, gz: 0.000977, avg x: -0.011002, avg y: -0.019106, avg z: -0.001912, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.058134, z_max: 0.042969
gx: 0.060547, gy: -0.007328, gz: 0.032715, avg x: -0.006192, avg y: -0.017567, avg z: -0.002302, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.058134, z_max: 0.042969
gx: 0.038086, gy: -0.040547, gz: 0.048340, avg x: -0.005020, avg y: -0.017958, avg z: 0.001190, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.058134, z_max: 0.048340
gx: 0.000977, gy: -0.020518, gz: 0.027344, avg x: -0.007242, avg y: -0.017200, avg z: 0.005464, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.052760, z_max: 0.048340
gx: 0.012695, gy: 0.004883, gz: -0.002931, avg x: -0.008902, avg y: -0.014538, avg z: 0.007955, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.045921, z_max: 0.048340
gx: 0.039062, gy: 0.028320, gz: -0.022472, avg x: -0.009097, avg y: -0.010728, avg z: 0.008834, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.073730, z_min: -0.045921, z_max: 0.048340
gx: 0.089355, gy: 0.078125, gz: -0.042501, avg x: -0.005777, avg y: -0.004844, avg z: 0.006831, x_min: -0.125061, x_max: 0.093750, y_min: -0.053249, y_max: 0.078125, z_min: -0.045921, z_max: 0.048340
gx: 0.126953, gy: 0.118652, gz: -0.057645, avg x: 0.000888, avg y: 0.002945, avg z: 0.003363, x_min: -0.125061, x_max: 0.126953, y_min: -0.053249, y_max: 0.118652, z_min: -0.057645, z_max: 0.048340
gx: 0.182617, gy: 0.174805, gz: -0.090376, avg x: 0.011338, avg y: 0.013444, avg z: -0.002108, x_min: -0.125061, x_max: 0.182617, y_min: -0.053249, y_max: 0.174805, z_min: -0.090376, z_max: 0.048340
gx: 0.277832, gy: 0.211914, gz: -0.094773, avg x: 0.030115, avg y: 0.025554, avg z: -0.007628, x_min: -0.125061, x_max: 0.277832, y_min: -0.053249, y_max: 0.211914, z_min: -0.094773, z_max: 0.048340
gx: 0.272949, gy: 0.199219, gz: -0.109917, avg x: 0.049576, avg y: 0.036810, avg z: -0.013636, x_min: -0.125061, x_max: 0.277832, y_min: -0.053249, y_max: 0.211914, z_min: -0.109917, z_max: 0.048340
gx: 0.258789, gy: 0.193359, gz: -0.126527, avg x: 0.068768, avg y: 0.047675, avg z: -0.020695, x_min: -0.110405, x_max: 0.277832, y_min: -0.053249, y_max: 0.211914, z_min: -0.126527, z_max: 0.048340
gx: 0.237793, gy: 0.189453, gz: -0.134831, avg x: 0.086178, avg y: 0.058173, avg z: -0.028608, x_min: -0.089888, x_max: 0.277832, y_min: -0.053249, y_max: 0.211914, z_min: -0.134831, z_max: 0.048340
gx: 0.213867, gy: 0.180664, gz: -0.137763, avg x: 0.101366, avg y: 0.068232, avg z: -0.037303, x_min: -0.035173, x_max: 0.277832, y_min: -0.053249, y_max: 0.211914, z_min: -0.137763, z_max: 0.048340
gx: 0.170898, gy: 0.166016, gz: -0.154861, avg x: 0.111669, avg y: 0.078536, avg z: -0.047195, x_min: -0.018075, x_max: 0.277832, y_min: -0.053249, y_max: 0.211914, z_min: -0.154861, z_max: 0.048340
gx: 0.163086, gy: 0.165527, gz: -0.169516, avg x: 0.120727, avg y: 0.089475, avg z: -0.057257, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.211914, z_min: -0.169516, z_max: 0.048340
gx: 0.165039, gy: 0.177734, gz: -0.189057, avg x: 0.128662, avg y: 0.100194, avg z: -0.067150, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.211914, z_min: -0.189057, z_max: 0.048340
gx: 0.200684, gy: 0.225586, gz: -0.248657, avg x: 0.138428, avg y: 0.110740, avg z: -0.077628, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.225586, z_min: -0.248657, z_max: 0.048340
gx: 0.237793, gy: 0.233887, gz: -0.238886, avg x: 0.146704, avg y: 0.118870, avg z: -0.087277, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.233887, z_min: -0.248657, z_max: 0.048340
gx: 0.210449, gy: 0.228516, gz: -0.212506, avg x: 0.152539, avg y: 0.126610, avg z: -0.096192, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.233887, z_min: -0.248657, z_max: 0.048340
gx: 0.128906, gy: 0.196777, gz: -0.143625, avg x: 0.154419, avg y: 0.135252, avg z: -0.103422, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.233887, z_min: -0.248657, z_max: 0.048340
gx: 0.024414, gy: 0.115723, gz: -0.078652, avg x: 0.152612, avg y: 0.141405, avg z: -0.108991, x_min: 0.000977, x_max: 0.277832, y_min: -0.040547, y_max: 0.233887, z_min: -0.248657, z_max: 0.048340
gx: 0.047852, gy: 0.105957, gz: -0.085979, avg x: 0.153101, avg y: 0.148730, avg z: -0.115707, x_min: 0.000977, x_max: 0.277832, y_min: -0.020518, y_max: 0.233887, z_min: -0.248657, z_max: 0.027344
gx: 0.124023, gy: 0.153809, gz: -0.161212, avg x: 0.159253, avg y: 0.157446, avg z: -0.125134, x_min: 0.012695, x_max: 0.277832, y_min: 0.004883, y_max: 0.233887, z_min: -0.248657, z_max: -0.002931
gx: 0.129883, gy: 0.148926, gz: -0.151930, avg x: 0.165112, avg y: 0.164648, avg z: -0.132584, x_min: 0.024414, x_max: 0.277832, y_min: 0.028320, y_max: 0.233887, z_min: -0.248657, z_max: -0.022472
gx: 0.170410, gy: 0.156250, gz: -0.197851, avg x: 0.171680, avg y: 0.171045, avg z: -0.141353, x_min: 0.024414, x_max: 0.277832, y_min: 0.078125, y_max: 0.233887, z_min: -0.248657, z_max: -0.042501
gx: 0.142578, gy: 0.068848, gz: -0.161700, avg x: 0.174341, avg y: 0.170581, avg z: -0.147313, x_min: 0.024414, x_max: 0.277832, y_min: 0.068848, y_max: 0.233887, z_min: -0.248657, z_max: -0.057645
gx: 0.035645, gy: -0.013190, gz: -0.087445, avg x: 0.169775, avg y: 0.163989, avg z: -0.148803, x_min: 0.024414, x_max: 0.277832, y_min: -0.013190, y_max: 0.233887, z_min: -0.248657, z_max: -0.078652
gx: 0.021973, gy: -0.034196, gz: -0.094773, avg x: 0.161743, avg y: 0.153539, avg z: -0.149023, x_min: 0.021973, x_max: 0.277832, y_min: -0.034196, y_max: 0.233887, z_min: -0.248657, z_max: -0.078652
gx: -0.004397, gy: -0.015144, gz: -0.097215, avg x: 0.147632, avg y: 0.142186, avg z: -0.149145, x_min: -0.004397, x_max: 0.272949, y_min: -0.034196, y_max: 0.233887, z_min: -0.248657, z_max: -0.078652
