You entered a buffer length of 20
gx: 0.013184, gy: 0.015137, gz: 0.007324, avg x: 0.000659, avg y: 0.000757, avg z: 0.000366, x_min: 0.000000, x_max: 0.013184, y_min: 0.000000, y_max: 0.015137, z_min: 0.000000, z_max: 0.007324
gx: 0.013184, gy: 0.017090, gz: 0.009277, avg x: 0.001318, avg y: 0.001611, avg z: 0.000830, x_min: 0.000000, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.009277
gx: 0.010254, gy: 0.017090, gz: 0.008301, avg x: 0.001831, avg y: 0.002466, avg z: 0.001245, x_min: 0.000000, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.009277
gx: 0.007324, gy: 0.016113, gz: 0.010742, avg x: 0.002197, avg y: 0.003272, avg z: 0.001782, x_min: 0.000000, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.010742
gx: 0.003906, gy: 0.012695, gz: 0.015625, avg x: 0.002393, avg y: 0.003906, avg z: 0.002563, x_min: 0.000000, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.015625
gx: 0.001465, gy: 0.008789, gz: 0.020508, avg x: 0.002466, avg y: 0.004346, avg z: 0.003589, x_min: 0.000000, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.020508
gx: -0.002443, gy: 0.004883, gz: 0.027832, avg x: 0.002344, avg y: 0.004590, avg z: 0.004980, x_min: -0.002443, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.027832
gx: -0.007328, gy: 0.000977, gz: 0.036133, avg x: 0.001977, avg y: 0.004639, avg z: 0.006787, x_min: -0.007328, x_max: 0.013184, y_min: 0.000000, y_max: 0.017090, z_min: 0.000000, z_max: 0.036133
gx: -0.012702, gy: -0.003420, gz: 0.046875, avg x: 0.001342, avg y: 0.004468, avg z: 0.009131, x_min: -0.012702, x_max: 0.013184, y_min: -0.003420, y_max: 0.017090, z_min: 0.000000, z_max: 0.046875
gx: -0.020029, gy: -0.008793, gz: 0.055664, avg x: 0.000341, avg y: 0.004028, avg z: 0.011914, x_min: -0.020029, x_max: 0.013184, y_min: -0.008793, y_max: 0.017090, z_min: 0.000000, z_max: 0.055664
gx: -0.024915, gy: -0.017098, gz: 0.067383, avg x: -0.000905, avg y: 0.003173, avg z: 0.015283, x_min: -0.024915, x_max: 0.013184, y_min: -0.017098, y_max: 0.017090, z_min: 0.000000, z_max: 0.067383
gx: -0.029800, gy: -0.023937, gz: 0.078613, avg x: -0.002395, avg y: 0.001976, avg z: 0.019214, x_min: -0.029800, x_max: 0.013184, y_min: -0.023937, y_max: 0.017090, z_min: 0.000000, z_max: 0.078613
gx: -0.035173, gy: -0.033708, gz: 0.088379, avg x: -0.004154, avg y: 0.000291, avg z: 0.023633, x_min: -0.035173, x_max: 0.013184, y_min: -0.033708, y_max: 0.017090, z_min: 0.000000, z_max: 0.088379
gx: -0.039570, gy: -0.042501, gz: 0.102051, avg x: -0.006132, avg y: -0.001834, avg z: 0.028735, x_min: -0.039570, x_max: 0.013184, y_min: -0.042501, y_max: 0.017090, z_min: 0.000000, z_max: 0.102051
gx: -0.043967, gy: -0.049340, gz: 0.112793, avg x: -0.008331, avg y: -0.004301, avg z: 0.034375, x_min: -0.043967, x_max: 0.013184, y_min: -0.049340, y_max: 0.017090, z_min: 0.000000, z_max: 0.112793
gx: -0.047386, gy: -0.056180, gz: 0.125488, avg x: -0.010700, avg y: -0.007110, avg z: 0.040649, x_min: -0.047386, x_max: 0.013184, y_min: -0.056180, y_max: 0.017090, z_min: 0.000000, z_max: 0.125488
gx: -0.049340, gy: -0.061065, gz: 0.135742, avg x: -0.013167, avg y: -0.010163, avg z: 0.047437, x_min: -0.049340, x_max: 0.013184, y_min: -0.061065, y_max: 0.017090, z_min: 0.000000, z_max: 0.135742
gx: -0.053249, gy: -0.065950, gz: 0.143066, avg x: -0.015829, avg y: -0.013461, avg z: 0.054590, x_min: -0.053249, x_max: 0.013184, y_min: -0.065950, y_max: 0.017090, z_min: 0.000000, z_max: 0.143066
gx: -0.058622, gy: -0.067416, gz: 0.151855, avg x: -0.018760, avg y: -0.016832, avg z: 0.062183, x_min: -0.058622, x_max: 0.013184, y_min: -0.067416, y_max: 0.017090, z_min: 0.000000, z_max: 0.151855
gx: -0.064485, gy: -0.069858, gz: 0.159180, avg x: -0.021985, avg y: -0.020325, avg z: 0.070142, x_min: -0.064485, x_max: 0.013184, y_min: -0.069858, y_max: 0.017090, z_min: 0.007324, z_max: 0.159180
gx: -0.067416, gy: -0.069370, gz: 0.165527, avg x: -0.026015, avg y: -0.024550, avg z: 0.078052, x_min: -0.067416, x_max: 0.013184, y_min: -0.069858, y_max: 0.017090, z_min: 0.008301, z_max: 0.165527
gx: -0.072789, gy: -0.072301, gz: 0.170410, avg x: -0.030313, avg y: -0.029019, avg z: 0.086108, x_min: -0.072789, x_max: 0.010254, y_min: -0.072301, y_max: 0.017090, z_min: 0.008301, z_max: 0.170410
gx: -0.076209, gy: -0.074255, gz: 0.173828, avg x: -0.034636, avg y: -0.033587, avg z: 0.094385, x_min: -0.076209, x_max: 0.007324, y_min: -0.074255, y_max: 0.016113, z_min: 0.010742, z_max: 0.173828
gx: -0.084514, gy: -0.082071, gz: 0.171387, avg x: -0.039228, avg y: -0.038496, avg z: 0.102417, x_min: -0.084514, x_max: 0.003906, y_min: -0.082071, y_max: 0.012695, z_min: 0.015625, z_max: 0.173828
gx: -0.081583, gy: -0.082071, gz: 0.149414, avg x: -0.043503, avg y: -0.043234, avg z: 0.109106, x_min: -0.084514, x_max: 0.001465, y_min: -0.082071, y_max: 0.008789, z_min: 0.020508, z_max: 0.173828
gx: -0.065950, gy: -0.073278, gz: 0.119629, avg x: -0.046873, avg y: -0.047338, avg z: 0.114062, x_min: -0.084514, x_max: -0.002443, y_min: -0.082071, y_max: 0.004883, z_min: 0.027832, z_max: 0.173828
